datetime,following,posts,followers,avgl,avgc
2018-03-25 00:30:06,202,381,181102,24292.416666666668,214.66666666666666
2018-03-25 00:45:06,202,381,181121,24296.75,214.5
2018-03-25 01:00:07,202,381,181140,24302.5,214.83333333333334
2018-03-25 01:15:07,202,381,181148,24307.583333333332,214.83333333333334
2018-03-25 01:30:06,202,381,181163,24310.75,214.91666666666666
2018-03-25 01:45:06,202,381,181174,24313.5,214.91666666666666
2018-03-25 03:00:07,202,381,181176,24316.416666666668,214.91666666666666
2018-03-25 03:15:06,202,381,181183,24318.5,214.91666666666666
2018-03-25 03:30:07,202,381,181187,24319.666666666668,215.0
2018-03-25 03:45:07,202,381,181188,24320.666666666668,215.0
2018-03-25 04:00:07,202,381,181198,24321.916666666668,215.08333333333334
2018-03-25 04:15:07,202,381,181203,24323.0,215.08333333333334
2018-03-25 04:30:12,202,381,181207,24324.0,215.08333333333334
2018-03-25 04:45:06,202,381,181209,24324.75,215.0
2018-03-25 05:00:07,202,381,181211,24325.083333333332,215.08333333333334
2018-03-25 05:15:07,202,381,181212,24325.833333333332,215.0
2018-03-25 05:30:07,202,381,181212,24326.75,215.0
2018-03-25 05:45:07,202,381,181215,24327.083333333332,215.0
2018-03-25 06:00:06,202,381,181217,24327.833333333332,215.08333333333334
2018-03-25 06:15:06,202,381,181218,24328.5,215.0
2018-03-25 06:30:07,202,381,181220,24328.666666666668,215.08333333333334
2018-03-25 06:45:08,202,381,181222,24329.75,215.08333333333334
2018-03-25 07:00:07,202,381,181222,24330.166666666668,215.08333333333334
2018-03-25 07:15:06,202,381,181220,24330.916666666668,215.16666666666666
2018-03-25 07:30:06,202,381,181222,24332.75,215.25
2018-03-25 07:45:06,202,381,181220,24334.25,215.16666666666666
2018-03-25 08:00:05,202,381,181226,24336.083333333332,215.25
2018-03-25 08:15:05,202,381,181236,24337.833333333332,215.25
2018-03-25 08:30:05,202,381,181238,24340.0,215.25
2018-03-25 08:45:06,202,381,181244,24344.333333333332,215.25
2018-03-25 09:00:06,202,381,181255,24349.083333333332,215.33333333333334
2018-03-25 09:15:06,202,381,181265,24352.916666666668,215.16666666666666
2018-03-25 09:30:06,202,381,181289,24360.666666666668,215.25
2018-03-25 09:45:06,202,381,181303,24365.666666666668,215.41666666666666
2018-03-25 10:00:06,202,381,181322,24370.083333333332,215.58333333333334
2018-03-25 10:15:05,202,381,181344,24375.0,215.66666666666666
2018-03-25 10:30:07,202,381,181377,24380.833333333332,215.75
2018-03-25 10:45:05,202,381,181406,24388.0,215.75
2018-03-25 11:00:05,202,381,181435,24391.833333333332,215.75
2018-03-25 11:15:06,202,381,181460,24399.583333333332,215.75
2018-03-25 11:30:06,202,381,181492,24406.416666666668,215.91666666666666
2018-03-25 11:45:05,202,381,181524,24416.25,216.0
2018-03-25 12:00:06,202,381,181563,24423.75,216.0
2018-03-25 12:15:05,202,381,181591,24431.416666666668,216.0
2018-03-25 12:30:06,202,381,181623,24437.0,216.08333333333334
2018-03-25 12:45:06,202,381,181661,24443.916666666668,216.16666666666666
2018-03-25 13:00:06,202,381,181705,24450.833333333332,216.16666666666666
2018-03-25 13:15:06,202,381,181730,24458.833333333332,216.25
2018-03-25 13:30:06,202,381,181753,24465.916666666668,216.25
